table_str,chi_stat,pval_exact,pval_asympt,diff
6_4_7_2,0.6928774928774928,0.43566099999999996,0.40518735986383914,0.03047364013616083
5_5_9_0,6.107142857142856,0.013622000000000023,0.01346366054964672,0.00015833945035330366
11_3_5_0,1.2723214285714284,0.27370700000000003,0.259331632851416,0.014375367148584006
7_9_1_2,0.11245265151515152,0.769217,0.7373689201124924,0.0318480798875076
8_7_2_2,0.014074074074074093,0.914735,0.905565166777331,0.009169833222668955
3_2_10_4,0.22271062271062272,0.6956359999999999,0.6369822762649922,0.05865372373500777
1_3_9_6,1.551666666666667,0.249178,0.21288956432050246,0.03628843567949755
3_10_1_5,0.10149572649572651,0.796816,0.7500420337713639,0.046773966228636055
5_1_11_2,0.005074786324786331,0.93651,0.9432087090569029,0.006698709056902952
6_3_2_8,4.2318181818181815,0.050068,0.03967291990431002,0.010395080095689985
0_11_6_2,12.057692307692308,0.00025799999999998047,0.0005157910219594842,0.0002577910219595037
6_10_0_3,1.6442307692307692,0.19823500000000005,0.1997459767075466,0.0015109767075465463
3_13_0_3,0.66796875,0.376235,0.41376069080441313,0.03752569080441315
1_4_1_13,0.6466386554621848,0.408944,0.42131701766685803,0.012373017666858055
3_10_6_0,9.743589743589745,0.0012119999999999909,0.0017994913454255186,0.0005874913454255277
5_2_3_9,3.909496753246753,0.059607999999999994,0.048013972894266226,0.011594027105733769
6_5_1_7,3.518804112554113,0.06862000000000001,0.060676213535144324,0.00794378646485569
0_15_0_4,0,-1,1,2
2_6_2_9,0.12954545454545463,0.7475339999999999,0.718903793420933,0.028630206579066897
3_12_3_1,4.421153846153846,0.03432999999999997,0.035496025810107856,0.0011660258101078846
5_0_0_14,18.999999999999996,7.999999999996898e-05,1.3071845366763017e-05,6.692815463320597e-05
9_1_7_2,0.532175925925926,0.549741,0.46569348896927554,0.0840475110307245
2_8_7_2,6.342716049382714,0.014931999999999945,0.01178642687562122,0.003145573124378725
0_3_2_14,0.4191176470588236,0.441777,0.5173776498652776,0.07560064986527759
4_5_0_10,5.62962962962963,0.01374299999999995,0.017659362249824805,0.003916362249824855
0_4_12_3,8.685714285714285,0.002299000000000051,0.0032071386386190413,0.0009081386386189903
9_5_1_4,2.898253968253969,0.10260400000000003,0.08867555699019397,0.013928443009806057
4_0_8_7,2.9555555555555557,0.09226199999999996,0.08558288874449135,0.006679111255508602
3_3_7_6,0.024358974358974377,0.900001,0.8759749929786724,0.024026007021327622
6_12_0_1,0.48717948717948717,0.416671,0.48518817554961347,0.06851717554961345
5_8_4_2,1.30997150997151,0.29672299999999996,0.25239981369865633,0.04432318630134363
15_1_0_3,13.359375,0.0010740000000000194,0.00025713398531315647,0.0008168660146868629
2_0_11_6,1.0316742081447963,0.30703899999999995,0.3097657684788953,0.0027267684788953583
12_2_4_1,0.09047619047619052,0.846012,0.7635726487259737,0.08243935127402624
1_9_5_4,4.549715099715101,0.03473800000000005,0.03292422432105296,0.0018137756789470896
0_8_0_11,0,-1,1,2
2_9_1_7,0.1124526515151515,0.770206,0.7373689201124924,0.0328370798875075
15_0_3_1,3.9583333333333335,0.047238,0.046639860079136355,0.0005981399208636468
1_1_1_16,3.698096885813149,0.074384,0.05447456801565931,0.019909431984340697
1_1_10_7,0.057152406417112306,0.782044,0.8110546421711229,0.029010642171122925
4_1_3_11,5.431802721088436,0.018091999999999997,0.019773257197008988,0.001681257197008991
8_0_4_7,8.060606060606062,0.004302000000000028,0.004523804886675336,0.00022180488667530775
2_8_1_8,0.28148148148148144,0.661718,0.5957318414203944,0.06598615857960566
6_4_4_5,0.45975308641975265,0.508274,0.4977393911628275,0.010534608837172499
2_17_0_0,0,-1,1,2
5_7_3_4,0.0025703463203463088,0.999805,0.9595657057843288,0.040239294215671295
14_3_0_2,6.258823529411766,0.01302700000000001,0.012357624082217886,0.0006693759177821244
