table_str,chi_stat,pval_exact,pval_asympt,diff
4_16_9_7,5.062876254180601,0.025685999999999987,0.024443638273828963,0.0012423617261710235
8_0_10_18,10.285714285714285,0.0006749999999999812,0.0013406411172294807,0.0006656411172294996
17_9_0_10,12.388663967611336,0.00025399999999997647,0.0004319482082015095,0.00017794820820153304
10_2_6_18,11.025,0.0007679999999999909,0.000898912788114091,0.0001309127881141001
18_16_0_2,2.1176470588235294,0.11737900000000001,0.1456100953968629,0.028231095396862887
3_10_13_10,3.7625418060200673,0.057143000000000055,0.05241284600041933,0.004730153999580725
0_14_15_7,16.363636363636363,1.6000000000016e-05,5.2278657832674425e-05,3.627865783265842e-05
1_21_3_11,2.4691558441558437,0.11510600000000004,0.11610026349980802,0.000994263499807982
9_17_3_7,0.06923076923076923,0.793755,0.7924600886080353,0.0012949113919646926
4_17_10_5,8.348794063079776,0.0038200000000000456,0.003859434001299617,3.943400129957121e-05
17_2_13_4,1.0922600619195042,0.326279,0.2959709942295109,0.030308005770489088
7_9_8_12,0.05142857142857152,0.847999,0.8205958397554408,0.027403160244559133
8_3_20_5,0.23376623376623368,0.649688,0.628745176273833,0.02094282372616707
11_15_7_3,2.2153846153846155,0.14581100000000002,0.13664100480748312,0.009169995192516905
2_12_20_2,21.136110642604145,1.0000000000287557e-06,4.277905063572824e-06,3.2779050635440686e-06
4_23_5_4,5.9753086419753085,0.014488999999999974,0.014507542249735656,1.854224973568165e-05
15_6_0_15,18.367346938775512,8.000000000008e-06,1.8215297148967956e-05,1.0215297148959955e-05
5_26_3_2,4.7944700460829495,0.027981000000000034,0.028551238781058242,0.0005702387810582084
18_3_1_14,21.9375497567448,0.0,2.8166829030337615e-06,2.8166829030337615e-06
8_8_3_17,5.131636363636362,0.02382200000000001,0.02349356851236527,0.0003284314876347387
2_10_0_24,4.23529411764706,0.02372300000000005,0.03959176323669047,0.01586876323669042
4_10_10_12,1.026142688480351,0.321387,0.31106636422392553,0.01032063577607445
26_0_5_5,15.096774193548388,0.00017900000000004024,0.00010213767405634996,7.686232594369028e-05
15_3_8_10,5.899665551839465,0.01518799999999998,0.015143760106166174,4.423989383380532e-05
17_1_12_6,4.433497536945813,0.03584799999999999,0.035240223824274594,0.0006077761757253969
15_5_14_2,0.8866995073891625,0.369734,0.3463732800061784,0.02336071999382161
0_33_3_0,36.0,0.0006230000000000402,1.9731752900753933e-09,0.0006229980268247501
7_0_17_12,4.344827586206897,0.03518399999999999,0.03712152563746847,0.0019375256374684763
0_10_8_18,3.956043956043956,0.04252800000000001,0.04670334074933055,0.004175340749330542
1_6_12_17,1.7941578661218844,0.19742700000000002,0.18042038806495614,0.01700661193504388
18_8_4_6,2.5966033966033963,0.11429100000000003,0.10709301083960465,0.007197989160395379
2_18_1_15,0.16363636363636355,0.707422,0.6858304344516057,0.021591565548394254
11_7_11_7,0.0,1.0,1.0,0.0
4_31_1_0,6.377142857142857,0.029846999999999957,0.011559937943984631,0.018287062056015324
10_22_1_3,0.06545454545454546,0.8197840000000001,0.7980737221573262,0.021710277842673875
0_3_19_14,3.6577540106951867,0.03773700000000002,0.05580881763279281,0.018071817632792787
8_3_17_8,0.08044958677685941,0.770125,0.7766890669016806,0.006564066901680654
9_10_10_7,0.47239022707013456,0.488649,0.4918896026509576,0.0032406026509576025
8_10_5_13,1.0836120401337792,0.306434,0.297890920993475,0.008543079006525012
3_5_19_9,2.412801484230056,0.12848800000000005,0.12034682273339906,0.00814117726660099
4_2_21_9,0.026181818181818216,0.881148,0.871457078972641,0.009690921027359023
4_16_4_12,0.12857142857142867,0.7366809999999999,0.7199178531944463,0.016763146805553575
10_23_2_1,1.6363636363636362,0.20626699999999998,0.20082512269514174,0.005441877304858234
1_1_21_13,0.11000763941940411,0.727974,0.7401354386035051,0.012161438603505048
10_14_2_10,2.25,0.14146599999999998,0.13361440253771584,0.007851597462284143
16_7_11_2,1.0033444816053512,0.33308899999999997,0.31650259225579497,0.016586407744205
1_21_14_0,32.07272727272727,0.0,1.485075351230453e-08,1.485075351230453e-08
5_14_6_11,0.34084998592738514,0.5776479999999999,0.5593390043820996,0.018308995617900337
4_25_3_4,3.0409861923366255,0.06911299999999998,0.08118658096502428,0.012073580965024297
0_0_34_2,0,-1,1,2
17_6_1_12,14.5685618729097,8.20000000000265e-05,0.00013515065311269365,5.3150653112667156e-05
13_8_5_10,2.857142857142857,0.097584,0.09096894797535765,0.006615052024642354
15_2_12_7,3.0092879256965945,0.090607,0.08278865258488317,0.00781834741511682
1_20_13_2,24.69907235621521,0.0,6.701642296251652e-07,6.701642296251652e-07
9_6_2_19,10.50638961038961,0.0008899999999999464,0.0011896246197459443,0.00029962461974599786
5_5_7_19,1.7307692307692308,0.19569999999999999,0.18831268948891278,0.007387310511087208
17_9_9_1,2.1813017751479293,0.15117899999999995,0.13969625821322243,0.011482741786777523
8_8_9_11,0.08916408668730659,0.784386,0.7652425480048463,0.01914345199515377
7_26_2_1,3.0303030303030303,0.07014200000000004,0.08172275229865922,0.01158075229865918
11_20_2_3,0.03806235839896428,0.864619,0.8453179761559215,0.019301023844078502
4_9_6_17,0.09076408541291493,0.757843,0.7632080174090629,0.005365017409062811
19_1_11_5,4.410000000000001,0.03552999999999995,0.03572884112563301,0.00019884112563305772
1_0_2_33,11.314285714285711,0.016818,0.0007691304253899396,0.01604886957461006
15_3_2_16,18.8359133126935,6.999999999979245e-06,1.4245931343949145e-05,7.2459313439698996e-06
22_1_8_5,6.959197324414716,0.006032000000000037,0.008338943542300054,0.002306943542300016
