node index 1,node index 2,phi-coefficient,p-value
0,1,-0.029140775257509806,0.6918413914689626
0,2,0.12669272390482753,0.08485103544324198
0,3,-0.006302743551120135,0.9316837716946151
0,4,0.11858541225631422,0.10675841563357981
0,5,0.056360186197663455,0.44333043153753526
0,6,0.03162277660168379,0.6671110701803225
0,7,0.030280623634011742,0.6804413008187734
0,8,-0.05074987143382188,0.4900225995171451
0,9,0.18650096164806276,0.011190685269065364
0,10,-0.029140775257509806,0.6918413914689626
0,11,-0.029140775257509806,0.6918413914689626
0,12,0.3650088097011089,6.882274880008441e-07
0,13,0.06624632522397653,0.3675630973952947
0,14,0.12095215904960549,0.09994357742592294
0,15,-0.058762561840283556,0.42414126071249225
0,16,-0.041323725306705396,0.5740728025982527
0,17,-0.029140775257509806,0.6918413914689626
0,18,0.15800604131142928,0.03162532373428734
0,19,-0.015891043154093204,0.8288774091245875
0,20,-0.05074987143382188,0.4900225995171451
0,21,0.2532375831196339,0.0005723208543775613
0,22,0.09362853468240902,0.2028457248686446
0,23,0.3867655274641979,1.4360177386634857e-07
0,24,0.18334510771016074,0.012639688080572033
0,25,-0.058762561840283556,0.42414126071249225
0,26,-0.15057034426283475,0.04056214560724467
0,27,-0.029140775257509806,0.6918413914689626
0,28,-0.06588078458684124,0.37021241515808323
0,29,-0.09160461419942151,0.21278001370157332
0,30,-0.07869644285664604,0.28444499241523735
0,31,-0.041323725306705396,0.5740728025982527
0,32,0.3058001207686486,3.191806263346474e-05
0,33,0.03162277660168379,0.6671110701803225
0,34,-0.058762561840283556,0.42414126071249225
0,35,0.07443314476960543,0.3113467315635143
0,36,-0.1976423537605237,0.00718326222243284
0,37,0.11157405832810456,0.12912251562964275
0,38,-0.006302743551120135,0.9316837716946151
0,39,-0.041323725306705396,0.5740728025982527
0,40,-0.03612402323862965,0.6231861086499868
0,41,-0.06588078458684124,0.37021241515808323
0,42,-0.029140775257509806,0.6918413914689626
0,43,-0.26120077441441353,0.00038127783895999605
0,44,-0.023361911450648965,0.7506697638057228
0,45,-0.0840365806816018,0.253029841507123
0,46,-0.08938711774177428,0.22406254927888875
0,47,-0.18776023607249753,0.010654975596826571
0,48,-0.04681253291507378,0.5243077089892154
0,49,-0.029140775257509806,0.6918413914689626
0,50,-0.029140775257509806,0.6918413914689626
0,51,0.18650096164806276,0.011190685269065364
0,52,0.4507159909062454,8.765825855385583e-10
0,53,-0.041323725306705396,0.5740728025982527
0,54,-0.05074987143382188,0.4900225995171451
0,55,0.07443314476960543,0.3113467315635143
0,56,0.1702137264752107,0.020604342589711246
0,57,-0.029140775257509806,0.6918413914689626
0,58,-0.04449038935628128,0.5450894872066994
0,59,0.16183817553060917,0.02771923807251357
0,60,-0.029140775257509806,0.6918413914689626
0,61,-0.029140775257509806,0.6918413914689626
0,62,0.2391308620450107,0.0011438197018618754
0,63,0.0766608453616488,0.2970871525588413
0,64,-0.041323725306705396,0.5740728025982527
0,65,-0.029140775257509806,0.6918413914689626
0,66,0.165615734242165,0.024283275160646656
0,67,0.11157405832810456,0.12912251562964275
0,68,-0.05074987143382188,0.4900225995171451
0,69,-0.12281414567022032,0.09482977490269882
1,2,0.21790557021013512,0.00303829979898628
1,3,-0.015672903110733747,0.8311908342178889
1,4,0.036860489038724284,0.6161199988427408
1,5,0.2481817940513581,0.000736449214817025
1,6,-0.01228682967957476,0.8672764545452716
1,7,-0.024202994687341058,0.742007305444834
1,8,-0.00946489982592333,0.8975661086916558
1,9,-0.005434782608695652,0.9410732178311877
1,10,-0.005434782608695652,0.9410732178311877
1,11,-0.005434782608695652,0.9410732178311877
1,12,-0.02846320307425988,0.6986515171617258
1,13,-0.02109390817547648,0.7741826346450035
1,14,0.058846158198680505,0.42348239096070217
1,15,-0.01095927429211664,0.8815045162649935
1,16,-0.0077069145085809435,0.9165143782835781
1,17,-0.005434782608695652,0.9410732178311877
1,18,-0.047951340999798225,0.5142665157525733
1,19,-0.016670783417789516,0.8206203466606894
1,20,-0.00946489982592333,0.8975661086916558
1,21,-0.08353437906179026,0.2558768902240134
1,22,0.1381593897175512,0.060221166492006255
1,23,-0.04302297857622434,0.5584295324334736
1,24,0.14263799084589265,0.05236918739066245
1,25,-0.01095927429211664,0.8815045162649935
1,26,0.15261692391683995,0.03791110246290606
1,27,-0.005434782608695652,0.9410732178311877
1,28,-0.01228682967957476,0.8672764545452716
1,29,-0.02638024422289925,0.7197371460933706
1,30,-0.031132950271916402,0.6719641228021886
1,31,-0.0077069145085809435,0.9165143782835781
1,32,-0.05817921233156201,0.42875562308878945
1,33,-0.01228682967957476,0.8672764545452716
1,34,-0.01095927429211664,0.8815045162649935
1,35,-0.00946489982592333,0.8975661086916558
1,36,-0.036860489038724284,0.6161199988427408
1,37,-0.0077069145085809435,0.9165143782835781
1,38,-0.015672903110733747,0.8311908342178889
1,39,-0.0077069145085809435,0.9165143782835781
1,40,0.11790038877052444,0.10879813486653317
1,41,-0.01228682967957476,0.8672764545452716
1,42,-0.005434782608695652,0.9410732178311877
1,43,-0.06650128677228728,0.3657222300668358
1,44,-0.029811182299619984,0.6851277174550465
1,45,0.3467629813249841,2.3995232327229634e-06
1,46,-0.016670783417789516,0.8206203466606894
1,47,-0.05361525678359896,0.4658509933089685
1,48,-0.02026742344213519,0.782804026661661
1,49,-0.005434782608695652,0.9410732178311877
1,50,-0.005434782608695652,0.9410732178311877
1,51,-0.005434782608695652,0.9410732178311877
1,52,-0.031132950271916402,0.6719641228021886
1,53,-0.0077069145085809435,0.9165143782835781
1,54,0.5742039227726821,5.717994541484582e-15
1,55,-0.00946489982592333,0.8975661086916558
1,56,-0.014619418796926962,0.842383529514754
1,57,-0.005434782608695652,0.9410732178311877
1,58,-0.042409446483998546,0.5640537369086684
1,59,0.03748212627377158,0.6101831532499398
1,60,-0.005434782608695652,0.9410732178311877
1,61,-0.005434782608695652,0.9410732178311877
1,62,-0.046713462327067405,0.5251859685357354
