63 7 {'phi': 0.19455024963408674, 'p_value': 0.00814090172312891}
63 14 {'phi': 0.32845143631215235, 'p_value': 7.916766857910274e-06}
63 66 {'phi': 0.28029639168091175, 'p_value': 0.0001375999097201797}
63 69 {'phi': -0.18947402282940243, 'p_value': 0.009962581977044917}
66 4 {'phi': 0.19094065395649332, 'p_value': 0.009402175523890879}
66 14 {'phi': 0.27156339681460795, 'p_value': 0.00022104798257875476}
66 38 {'phi': 0.18991970642445405, 'p_value': 0.009789216629647336}
67 3 {'phi': 0.2347548293241677, 'p_value': 0.0014079763764912633}
67 38 {'phi': 0.2347548293241677, 'p_value': 0.0014079763764912633}
67 53 {'phi': 0.49453551912568305, 'p_value': 1.7389979144856365e-11}
3 49 {'phi': 0.3467629813249841, 'p_value': 2.3995232327229634e-06}
3 53 {'phi': 0.2347548293241677, 'p_value': 0.0014079763764912633}
3 59 {'phi': -0.22080530724201122, 'p_value': 0.0026708931913103345}
53 37 {'phi': 0.49453551912568305, 'p_value': 1.7389979144856365e-11}
53 38 {'phi': 0.2347548293241677, 'p_value': 0.0014079763764912633}
53 39 {'phi': 0.49453551912568305, 'p_value': 1.7389979144856365e-11}
53 56 {'phi': 0.2532191499465226, 'p_value': 0.0005728518574331385}
59 44 {'phi': -0.25637460603131157, 'p_value': 0.0004883405205227421}
59 69 {'phi': -0.23328054783069455, 'p_value': 0.0015089409602864429}
4 26 {'phi': 0.24152294576982397, 'p_value': 0.0010195804221129587}
4 44 {'phi': -0.2644013603256262, 'p_value': 0.0003228408943785071}
4 48 {'phi': -0.28549458074552414, 'p_value': 0.00010311355991360452}
26 18 {'phi': 0.19912562781072568, 'p_value': 0.006760820724058789}
26 19 {'phi': 0.27568293790345866, 'p_value': 0.00017705094195637485}
44 47 {'phi': 0.2944469694535382, 'p_value': 6.204063263952877e-05}
44 48 {'phi': 0.19307096421409717, 'p_value': 0.008638237462615867}
44 69 {'phi': 0.3499892822470235, 'p_value': 1.932394236162174e-06}
48 25 {'phi': 0.24993204188071477, 'p_value': 0.0006752317911575819}
48 31 {'phi': 0.38026118764354455, 'p_value': 2.31463601348355e-07}
6 25 {'phi': 0.20440589021797073, 'p_value': 0.005432196804992025}
25 34 {'phi': 0.23342541436464087, 'p_value': 0.00149873224683603}
7 38 {'phi': 0.19921209699537823, 'p_value': 0.006736897176630763}
7 50 {'phi': 0.2245500062658865, 'p_value': 0.0022565384642769287}
7 65 {'phi': 0.2245500062658865, 'p_value': 0.0022565384642769287}
38 10 {'phi': 0.3467629813249841, 'p_value': 2.3995232327229634e-06}
38 37 {'phi': 0.2347548293241677, 'p_value': 0.0014079763764912633}
38 39 {'phi': 0.2347548293241677, 'p_value': 0.0014079763764912633}
38 61 {'phi': 0.3467629813249841, 'p_value': 2.3995232327229634e-06}
65 46 {'phi': 0.3260064312812172, 'p_value': 9.242902104144181e-06}
65 68 {'phi': 0.5742039227726821, 'p_value': 5.717994541484582e-15}
8 31 {'phi': 0.40042037399493846, 'p_value': 5.142666187910075e-08}
31 22 {'phi': 0.1959199993404027, 'p_value': 0.007703410058083221}
9 35 {'phi': 0.5742039227726821, 'p_value': 5.717994541484582e-15}
9 56 {'phi': 0.37175093512185703, 'p_value': 4.27335701078387e-07}
35 56 {'phi': 0.1988330184591918, 'p_value': 0.006842344757167092}
56 18 {'phi': 0.24289913292407955, 'p_value': 0.0009538882304990954}
56 37 {'phi': 0.2532191499465226, 'p_value': 0.0005728518574331385}
56 39 {'phi': 0.2532191499465226, 'p_value': 0.0005728518574331385}
56 55 {'phi': 0.1988330184591918, 'p_value': 0.006842344757167092}
11 29 {'phi': 0.2060171453597846, 'p_value': 0.005076544798769807}
29 16 {'phi': 0.2921472008925145, 'p_value': 7.078503792063483e-05}
29 57 {'phi': 0.2060171453597846, 'p_value': 0.005076544798769807}
29 69 {'phi': 0.3243388269475347, 'p_value': 1.0266407261332756e-05}
42 28 {'phi': 0.4423258684646914, 'p_value': 1.7846828084185843e-09}
58 28 {'phi': 0.21259967946760377, 'p_value': 0.003832023235083684}
14 40 {'phi': 0.20316645592396815, 'p_value': 0.005720918038108355}
16 46 {'phi': 0.21933015211367413, 'p_value': 0.0028523978786456346}
16 57 {'phi': 0.7051826775351563, 'p_value': 8.679558386346183e-22}
46 68 {'phi': 0.3688248802369389, 'p_value': 5.260465309929868e-07}
18 55 {'phi': 0.1973855084879307, 'p_value': 0.007258773077484132}
55 28 {'phi': 0.24251094575618398, 'p_value': 0.0009720098392545218}
22 39 {'phi': 0.1959199993404027, 'p_value': 0.007703410058083221}
39 37 {'phi': 0.49453551912568305, 'p_value': 1.7389979144856365e-11}
