table_str,chi_stat,pval_exact,pval_asympt,diff
2_10_1_0,3.6111111111111107,0.056988999999999956,0.05739476141840284,0.00040576141840288626
0_1_4_8,0.4814814814814815,0.40349100000000004,0.487752031649034,0.08426103164903398
5_3_5_0,2.4375,0.11942200000000003,0.11846489387154585,0.0009571061284541771
0_11_1_1,5.958333333333333,0.036335000000000006,0.014647881572517441,0.021687118427482565
6_3_1_3,1.9345238095238093,0.20375,0.16426436600036604,0.03948563399963395
2_0_9_2,0.42975206611570255,0.41758799999999996,0.5121106306926059,0.09452263069260591
4_4_4_1,1.17,0.32066399999999995,0.2794012405091313,0.04126275949086866
1_2_9_1,4.174444444444444,0.039773999999999976,0.04103801487290967,0.0012640148729096967
5_6_0_2,1.477272727272727,0.232595,0.22420171740248077,0.00839328259751923
3_0_9_1,0.32499999999999996,0.44760900000000003,0.5686182086635944,0.12100920866359433
0_10_1_2,3.6111111111111107,0.05697200000000002,0.05739476141840284,0.00042276141840282
0_0_6_7,0,2,1,2
1_0_10_2,0.19696969696969693,0.468726,0.6571780184398511,0.18845201843985115
9_3_1_0,0.32499999999999996,0.44652000000000003,0.5686182086635944,0.12209820866359433
1_11_0_1,0.09027777777777776,0.417729,0.7638243153154629,0.3460953153154629
8_1_4_0,0.4814814814814815,0.40513999999999994,0.487752031649034,0.08261203164903408
2_1_6_4,0.04333333333333329,0.841757,0.8350988866927067,0.0066581133072932674
1_0_7_5,0.6770833333333335,0.39748799999999995,0.4105928806629754,0.013104880662975438
1_1_8_3,0.4103535353535353,0.592847,0.5217901193139773,0.07105688068602267
0_2_5_6,1.477272727272727,0.23337600000000003,0.22420171740248077,0.009174282597519262
6_3_2_2,0.32500000000000007,0.638116,0.5686182086635942,0.06949779133640577
3_1_1_8,5.306327160493828,0.022174000000000027,0.02124810569329731,0.0009258943067027153
7_1_5_0,0.6770833333333334,0.39757200000000004,0.4105928806629755,0.013020880662975465
5_0_8_0,0,2,1,2
6_2_4_1,0.0433333333333333,0.841757,0.8350988866927067,0.0066581133072932674
6_7_0_0,0,2,1,2
7_4_0_2,2.757575757575757,0.07898000000000005,0.0967948136404991,0.017814813640499055
5_2_3_3,0.6267857142857147,0.5204869999999999,0.42853679206178186,0.09195020793821806
6_5_1_1,0.014069264069264037,0.859725,0.9055812297953827,0.04585622979538273
11_1_1_0,0.09027777777777776,0.41764,0.7638243153154629,0.3461843153154629
2_2_0_9,5.3181818181818175,0.022492999999999985,0.02110402055598001,0.0013889794440199756
1_5_1_6,0.014069264069264037,0.8602110000000001,0.9055812297953827,0.04537022979538263
3_7_2_1,1.3108333333333337,0.274489,0.25224383125177174,0.02224516874822824
6_4_1_2,0.6603174603174602,0.5106280000000001,0.4164478902261447,0.09418010977385538
3_0_2_8,6.24,0.00938300000000003,0.012489647590518986,0.0031066475905189555
0_5_7_1,9.479166666666668,0.0017580000000000373,0.0020781834521556896,0.00032018345215565226
9_0_4_0,0,2,1,2
4_2_4_3,0.12380952380952365,0.762744,0.7249389272282036,0.037805072771796344
10_2_0_1,3.6111111111111107,0.05667100000000003,0.05739476141840284,0.0007237614184028157
2_3_3_5,0.008125000000000004,0.996342,0.9281769311514955,0.06816506884850448
3_3_7_0,4.55,0.02923600000000004,0.03291874640924004,0.0036827464092400036
0_3_10_0,12.999999999999996,0.0022539999999999782,0.0003114909767673845,0.0019425090232325936
0_4_7_2,6.7407407407407405,0.00803699999999996,0.009423548861244383,0.0013865488612444226
