table_str,chi_stat,pval_exact,pval_asympt,diff
6_8_0_0,0,-1,1,2
3_4_6_1,2.8,0.11894300000000002,0.09426430684121058,0.02467869315878944
2_3_1_8,1.5932659932659934,0.218657,0.2068601344423803,0.01179686555761969
1_7_3_3,2.3625,0.14455300000000004,0.12428287406255278,0.02027012593744726
5_4_5_0,3.1111111111111107,0.07956300000000005,0.07775989643932942,0.0018031035606706353
1_1_4_8,0.20740740740740743,0.704753,0.6488070849862198,0.05594591501378021
1_4_0_9,1.9384615384615382,0.11179099999999997,0.16383567525175077,0.0520446752517508
11_2_1_0,0.17948717948717946,0.467951,0.6718143212349464,0.20386332123494644
6_5_0_3,2.8636363636363638,0.09004000000000001,0.09060246700291072,0.0005624670029107104
7_6_0_1,1.0769230769230769,0.294388,0.29938690580359834,0.0049989058035983525
13_1_0_0,0,-1,1,2
3_0_5_6,2.863636363636364,0.08934299999999995,0.0906024670029107,0.0012594670029107552
4_6_3_1,1.4,0.288926,0.23672357063785393,0.052202429362146086
4_3_5_2,0.3111111111111111,0.623085,0.5769991622487406,0.046085837751259406
10_3_1_0,0.2937062937062937,0.451056,0.587855181000744,0.13679918100074395
0_5_6_3,5.833333333333333,0.015808000000000044,0.01572529975450535,8.270024549469554e-05
7_2_2_3,1.9980246913580246,0.18852100000000005,0.1575043503441847,0.031016649655815354
0_1_8_5,1.435897435897436,0.16707899999999998,0.23080437993927055,0.06372537993927058
2_5_5_2,2.5714285714285716,0.13573000000000002,0.10880943004054605,0.026920569959453966
1_0_3_10,2.692307692307692,0.07352199999999998,0.10083368313947766,0.027311683139477683
2_1_10_1,1.1313131313131313,0.23776699999999995,0.2874954188691654,0.04972841886916546
7_1_1_5,7.024305555555555,0.009004000000000012,0.008041064960803507,0.0009629350391965052
3_3_4_4,0.0,1.0,1.0,0.0
8_3_1_2,1.5932659932659932,0.22026100000000004,0.20686013444238038,0.013400865557619657
0_4_0_10,0,-1,1,2
2_6_6_0,7.875,0.0027970000000000494,0.0050122871454886765,0.002215287145488627
0_9_1_4,1.9384615384615382,0.11134,0.16383567525175077,0.05249567525175078
4_7_0_3,1.5272727272727273,0.23180800000000001,0.21652222166103371,0.0152857783389663
5_0_7_2,1.2962962962962963,0.26946000000000003,0.25489085754716406,0.01456914245283597
0_11_2_1,8.555555555555555,0.008001999999999954,0.0034446936330652708,0.004557306366934683
2_0_8_4,0.9333333333333333,0.345299,0.3339982558219952,0.011300744178004807
0_8_1_5,1.435897435897436,0.167686,0.23080437993927055,0.06311837993927055
3_5_3_3,0.2187499999999999,0.718692,0.6399940105774466,0.07869798942255335
1_6_4_3,2.8,0.11966299999999996,0.09426430684121058,0.025398693158789384
2_8_3_1,3.7644444444444445,0.06169999999999998,0.0523532470453333,0.009346752954666679
0_0_10_4,0,-1,1,2
5_1_7_1,0.04861111111111115,0.794305,0.8254979107046321,0.031192910704632038
3_8_1_2,0.04242424242424244,0.87866,0.8368132047475227,0.041846795252477254
9_0_3_2,4.199999999999999,0.029352999999999962,0.04042397933690869,0.011070979336908725
5_4_2_3,0.3111111111111111,0.6230089999999999,0.5769991622487406,0.04600983775125933
0_3_6_5,2.863636363636364,0.08897299999999997,0.0906024670029107,0.0016294670029107367
8_4_0_2,3.111111111111111,0.05525199999999997,0.0777598964393294,0.022507896439329433
3_9_1_1,0.525,0.5006550000000001,0.46871658244620695,0.03193841755379312
1_3_8_2,3.764444444444445,0.05886400000000003,0.05235324704533326,0.006510752954666771
12_1_1_0,0.08284023668639051,0.41596200000000005,0.7734846809809459,0.35752268098094586
9_1_3_1,0.5250000000000001,0.5009049999999999,0.46871658244620695,0.03218841755379298
3_1_8_2,0.04242424242424244,0.878043,0.8368132047475227,0.041229795252477275
4_0_1_9,10.08,0.0009230000000000071,0.0014988733371516763,0.0005758733371516692
2_9_0_3,0.6363636363636364,0.387729,0.4250306527849277,0.0373016527849277
3_11_0_0,0,-1,1,2
5_5_0_4,3.1111111111111107,0.07993799999999995,0.07775989643932942,0.0021781035606705385
0_4_3_7,1.5272727272727273,0.23136,0.21652222166103371,0.014837778338966295
0_0_13_1,0,-1,1,2
4_4_6_0,4.2,0.04292499999999999,0.040423979336908625,0.002501020663091366
2_7_1_4,0.009427609427609424,0.934846,0.9226502546723305,0.012195745327669427
1_2_11_0,8.555555555555555,0.008106999999999975,0.0034446936330652708,0.004662306366934705
1_1_6_6,0.0,1.0,1.0,0.0
0_8_4_2,7.466666666666666,0.0048000000000000265,0.006285181643384478,0.001485181643384451
3_2_3_6,0.9333333333333333,0.39040699999999995,0.3339982558219952,0.05640874417800473
3_0_11_0,0,-1,1,2
1_0_8_5,0.5982905982905982,0.40335600000000005,0.4392309845224477,0.03587498452244764
2_6_1_5,0.14141414141414144,0.748943,0.706879192127743,0.04206380787225705
0_2_12_0,14.0,0.006417000000000006,0.00018281063298183515,0.006234189367018171
3_4_4_3,0.2857142857142857,0.6540440000000001,0.5929800980174267,0.06106390198257339
1_8_1_4,0.2074074074074074,0.7044969999999999,0.6488070849862198,0.05568991501378018
1_11_2_0,8.555555555555555,0.008133999999999975,0.0034446936330652708,0.004689306366934704
6_5_2_1,0.14141414141414144,0.7484500000000001,0.706879192127743,0.04157080787225709
5_0_1_8,10.37037037037037,0.0009700000000000264,0.0012805385594711117,0.0003105385594710853
0_3_3_8,1.0413223140495866,0.31751300000000005,0.30751413596741856,0.00999886403258149
2_2_7_3,0.4977777777777778,0.53062,0.48047817807440873,0.050141821925591246
2_4_0_8,3.1111111111111116,0.04951899999999998,0.07775989643932939,0.028240896439329408
0_6_6_2,7.875000000000001,0.002583000000000002,0.005012287145488672,0.00242928714548867
6_4_0_4,4.200000000000001,0.03967200000000004,0.04042397933690861,0.0007519793369085703
4_3_7_0,3.8181818181818183,0.04872299999999996,0.05069922546523272,0.00197622546523276
1_0_5_8,1.4358974358974357,0.18597200000000003,0.2308043799392706,0.044832379939270584
1_6_2_5,0.42424242424242425,0.601302,0.514827712198444,0.08647428780155597
6_1_5_2,0.4242424242424242,0.601846,0.514827712198444,0.08701828780155596
1_5_8_0,10.37037037037037,0.0009430000000000271,0.0012805385594711117,0.00033753855947108455
3_2_0_9,6.872727272727274,0.0062670000000000226,0.008752098598924323,0.0024850985989243006
2_5_7_0,7.777777777777778,0.004242999999999997,0.00528928214229387,0.0010462821422938728
5_1_1_7,7.024305555555555,0.00879300000000005,0.008041064960803507,0.000751935039196544
13_0_1_0,0,-1,1,2
6_2_6_0,1.75,0.17712499999999998,0.1858767323658721,0.008751732365872122
4_5_1_4,0.8365432098765433,0.428257,0.36038728967840783,0.06786971032159217
8_3_3_0,1.0413223140495866,0.31715899999999997,0.30751413596741856,0.009644864032581413
2_6_4_2,2.4305555555555554,0.148764,0.1189907208931241,0.02977327910687591
0_2_3_9,0.6363636363636364,0.38695199999999996,0.4250306527849277,0.038078652784927725
4_7_2_1,0.8838383838383838,0.411513,0.3471525278629799,0.06436047213702012
4_4_1_5,1.6592592592592594,0.21306000000000003,0.19770336686210233,0.015356633137897702
0_6_5_3,5.833333333333333,0.01522699999999999,0.01572529975450535,0.0004982997545053582
0_0_8_6,0,-1,1,2
0_0_3_11,0,-1,1,2
3_2_5_4,0.02592592592592593,0.888891,0.8720813524392248,0.016809647560775187
4_0_7_3,1.5272727272727273,0.21904800000000002,0.21652222166103371,0.0025257783389663058
10_1_1_2,4.640955004591369,0.032928999999999986,0.031217625774779902,0.0017113742252200838
0_9_0_5,0,-1,1,2
2_0_1_11,8.555555555555557,0.00789200000000001,0.0034446936330652608,0.00444730636693475
0_1_11_2,3.948717948717949,0.051286000000000054,0.046907091777480175,0.004378908222519878
4_2_2_6,2.4305555555555554,0.14858899999999997,0.1189907208931241,0.029598279106875874
0_4_1_9,0.43076923076923074,0.42266800000000004,0.5116117396553804,0.08894373965538038
2_9_2_1,2.7151515151515153,0.09559499999999999,0.09939953216165602,0.003804532161656035
10_2_2_0,0.38888888888888895,0.436829,0.5328840277868037,0.09605502778680364
3_4_2_5,0.3111111111111111,0.62176,0.5769991622487406,0.044760837751259386
8_0_3_3,5.09090909090909,0.01897800000000005,0.024051580332536283,0.005073580332536232
1_0_2_11,3.948717948717949,0.051454,0.046907091777480175,0.004546908222519824
6_3_1_4,2.8,0.11936400000000003,0.09426430684121058,0.025099693158789446
2_8_0_4,0.9333333333333333,0.33910799999999997,0.3339982558219952,0.005109744178004749
4_4_4_2,0.38888888888888906,0.535506,0.5328840277868037,0.0026219722131963774
0_5_9_0,14.0,0.00017199999999994997,0.00018281063298183515,1.0810632981885182e-05
1_2_9_2,2.7151515151515153,0.09539600000000004,0.09939953216165602,0.004003532161655984
0_3_5_6,2.121212121212121,0.16025299999999998,0.14527153234110218,0.014981467658897796
6_2_1_5,4.666666666666666,0.03628600000000004,0.03075356125927456,0.005532438740725482
0_8_2_4,3.111111111111111,0.055451999999999946,0.0777598964393294,0.022307896439329455
3_0_9_2,0.6363636363636364,0.388157,0.4250306527849277,0.03687365278492771
4_1_0_9,10.079999999999998,0.0011480000000000379,0.0014988733371516757,0.0003508733371516378
4_0_2_8,7.466666666666667,0.004318000000000044,0.006285181643384482,0.001967181643384438
1_2_2_9,0.3213957759412305,0.637249,0.5707700397175208,0.06647896028247913
3_10_1_0,2.6923076923076925,0.07329399999999997,0.10083368313947776,0.027539683139477786
8_4_1_1,0.2074074074074074,0.703557,0.6488070849862198,0.05474991501378024
1_1_0_12,6.461538461538463,0.03328299999999995,0.011023416388221439,0.022259583611778513
5_4_1_4,1.6592592592592592,0.22867300000000002,0.1977033668621023,0.030969633137897717
1_3_9_1,5.915000000000001,0.012580000000000036,0.015012502946856486,0.0024325029468564505
5_7_2_0,2.333333333333333,0.11997599999999997,0.1266304579476171,0.006654457947617126
5_9_0_0,0,-1,1,2
5_2_6_1,0.4242424242424242,0.601124,0.514827712198444,0.08629628780155596
0_5_2_7,1.2962962962962963,0.26902800000000004,0.25489085754716406,0.014137142452835982
3_1_9_1,0.5250000000000001,0.495617,0.46871658244620695,0.02690041755379302
1_11_0_2,0.17948717948717946,0.469411,0.6718143212349464,0.20240332123494642
0_1_12_1,6.461538461538463,0.03340299999999996,0.011023416388221439,0.02237958361177852
8_6_0_0,0,-1,1,2
0_0_6_8,0,-1,1,2
6_0_0_8,14.0,0.00011499999999997623,0.00018281063298183515,6.781063298185892e-05
1_0_7_6,0.8076923076923077,0.376908,0.36880340134896017,0.008104598651039852
3_3_8_0,5.090909090909091,0.01730100000000001,0.024051580332536272,0.0067505803325362615
2_7_0_5,1.2962962962962963,0.26857600000000004,0.25489085754716406,0.013685142452835974
3_2_2_7,1.9980246913580246,0.18856700000000004,0.1575043503441847,0.031062649655815344
12_0_2_0,0,-1,1,2
9_2_2_1,0.3213957759412305,0.636556,0.5707700397175208,0.06578596028247918
0_8_5_1,10.37037037037037,0.0009200000000000319,0.0012805385594711117,0.0003605385594710798
1_6_0_7,1.0769230769230769,0.29501200000000005,0.29938690580359834,0.0043749058035982835
6_1_7_0,1.0769230769230769,0.295219,0.29938690580359834,0.004167905803598326
1_10_3_0,9.545454545454545,0.0025249999999999995,0.0020044518128686435,0.000520548187131356
2_5_1_6,0.42424242424242425,0.6007020000000001,0.514827712198444,0.08587428780155604
5_1_3_5,2.9409722222222228,0.09259399999999995,0.08635873964701238,0.006235260352987576
1_8_0_5,0.5982905982905982,0.40312400000000004,0.4392309845224477,0.03610698452244765
