table_str,chi_stat,pval_exact,pval_asympt,diff
4_8_3_0,4.2857142857142865,0.032888999999999946,0.03843393023678171,0.005544930236781764
8_0_3_4,6.233766233766234,0.010986999999999969,0.012533688376410959,0.00154668837641099
0_7_2_6,2.0192307692307696,0.14970300000000003,0.15531780597870407,0.005614805978704035
3_3_5_4,0.04464285714285722,0.897236,0.8326621063505324,0.06457389364946764
5_6_0_4,2.7272727272727275,0.10422600000000004,0.09864761042929937,0.00557838957070067
8_5_1_1,0.09615384615384615,0.751844,0.7564949222136524,0.004650922213652486
9_2_1_3,4.261363636363637,0.042703000000000046,0.03898861209635852,0.003714387903641529
6_1_2_6,5.529336734693877,0.01616799999999996,0.018700192887553313,0.002532192887553353
2_0_9_4,0.8391608391608391,0.351247,0.35963688155503704,0.00838988155503706
1_3_1_10,0.6424825174825175,0.41049199999999997,0.4228132687648233,0.012321268764823312
1_0_10_4,0.38961038961038963,0.42522000000000004,0.5325042685883556,0.1072842685883556
4_3_1_7,3.3482142857142856,0.07872900000000005,0.06727796053834906,0.011451039461650991
1_2_2_10,0.41666666666666674,0.556743,0.5186050164287255,0.038137983571274514
0_6_0_9,0,-1,1,2
1_7_7_0,11.484375,0.00022100000000002673,0.0007018372426576121,0.00048083724265758534
5_2_6_2,0.02435064935064938,0.898648,0.8759960169024937,0.022651983097506267
0_4_9_2,8.181818181818182,0.002906999999999993,0.004231232899758152,0.0013242328997581593
3_9_2_1,1.875,0.190268,0.17090352023079358,0.01936447976920641
4_2_1_8,5.0,0.02939499999999995,0.025347318677468325,0.004047681322531624
6_5_4_0,2.7272727272727275,0.11004899999999995,0.09864761042929937,0.011401389570700582
12_1_0_2,9.230769230769234,0.005816000000000043,0.0023798164638096993,0.003436183536190344
0_9_5_1,11.25,0.0005420000000000424,0.0007962301575908105,0.00025423015759076806
5_0_3_7,6.5625,0.009236000000000022,0.010414994659063273,0.001178994659063251
2_2_5_6,0.024350649350649383,0.898255,0.8759960169024937,0.02225898309750629
1_6_0_8,1.2244897959183674,0.207936,0.2684813240895754,0.060545324089575414
1_1_8_5,0.09615384615384613,0.751506,0.7564949222136524,0.004988922213652436
1_9_3_2,4.261363636363637,0.04296299999999997,0.03898861209635852,0.003974387903641456
0_2_5_8,1.1538461538461537,0.30193000000000003,0.28274545993277156,0.019184540067228473
7_0_5_3,3.28125,0.07090799999999997,0.07007553859334138,0.0008324614066585884
4_7_4_0,4.772727272727272,0.02905599999999997,0.02891398734299433,0.00014201265700564125
1_3_4_7,0.17045454545454547,0.7319869999999999,0.6797081543484926,0.05227884565150731
9_2_2_2,1.518595041322314,0.23268699999999998,0.2178322292372689,0.01485477076273109
0_0_14_1,0,-1,1,2
6_4_2_3,0.5357142857142857,0.539844,0.4642143127710313,0.07562968722896868
0_5_10_0,14.999999999999998,0.00012999999999996348,0.00010751117672950063,2.2488823270462848e-05
6_0_8_1,0.7142857142857145,0.383853,0.39802471950693785,0.014171719506937852
12_2_1_0,0.1648351648351648,0.46672,0.6847433561373875,0.21802335613738744
3_3_0_9,5.625,0.012855999999999979,0.017706065807366642,0.004850065807366664
1_8_0_6,0.7142857142857145,0.384151,0.39802471950693785,0.013873719506937832
