table_str,chi_stat,pval_exact,pval_asympt,diff
7_3_1_0,0.4125,0.43575200000000003,0.5207033237981,0.0849513237981
1_3_1_6,0.1964285714285714,0.736664,0.6576191766011901,0.07904482339880992
1_0_2_8,2.9333333333333336,0.06679900000000005,0.08676817270387548,0.019969172703875424
10_0_1_0,0,2,1,2
0_0_11_0,0,2,1,2
0_6_0_5,0,2,1,2
2_8_0_1,0.24444444444444444,0.416254,0.6210143706612847,0.20476037066128472
1_4_4_2,2.3955555555555565,0.11114000000000002,0.12168051528564862,0.010540515285648602
5_1_4_1,0.020370370370370358,0.848713,0.8865075245848408,0.03779452458484078
4_1_0_6,7.542857142857142,0.004824999999999968,0.006024843015809111,0.001199843015809143
0_3_5_3,3.4375,0.06683300000000003,0.06373206113252294,0.0031009388674770877
4_0_2_5,5.238095238095239,0.02122500000000005,0.02209745528422719,0.0008724552842271395
2_3_5_1,2.213095238095238,0.19236600000000004,0.13684386604293008,0.05552213395706995
9_1_0_1,4.949999999999999,0.04422499999999996,0.026090668481125488,0.01813433151887447
2_4_2_3,0.052380952380952334,0.889489,0.818970848901759,0.070518151098241
5_5_1_0,0.9166666666666666,0.35225300000000004,0.3383517215622166,0.013901278437783438
2_1_6_2,0.0763888888888888,0.821941,0.7822520698874639,0.03968893011253616
1_0_7_3,0.4125,0.434569,0.5207033237981,0.08613432379810004
4_2_1_4,2.395555555555556,0.131884,0.12168051528564858,0.010203484714351424
3_2_2_4,0.7822222222222218,0.41794699999999996,0.37646236576763803,0.04148463423236193
3_0_1_7,7.218750000000001,0.00672600000000001,0.007214593067909977,0.0004885930679099674
1_6_0_4,0.6285714285714286,0.409756,0.4278798079182491,0.01812380791824908
3_1_1_6,4.05484693877551,0.05116900000000002,0.04404471164725345,0.0071242883527465675
2_0_4_5,2.037037037037037,0.15339000000000003,0.15350840480436445,0.0001184048043644248
5_1_3_2,0.7486111111111113,0.487437,0.386916317769068,0.10052068223093202
1_7_2_1,3.227430555555555,0.07050100000000004,0.0724142231706352,0.0019132231706351643
0_1_1_9,0.11000000000000003,0.41806,0.7401441358045748,0.32208413580457484
3_3_0_5,3.4375,0.061416000000000026,0.06373206113252294,0.0023160611325229175
0_4_4_3,3.5918367346938775,0.057831999999999995,0.058064034166922386,0.0002320341669223916
2_1_3_5,0.7486111111111113,0.48594400000000004,0.386916317769068,0.09902768223093206
4_1_5_1,0.020370370370370358,0.8473390000000001,0.8865075245848408,0.03916852458484077
2_2_0_7,4.277777777777778,0.03555200000000003,0.03861380084209763,0.0030618008420976034
1_3_7_0,7.218750000000001,0.006832999999999978,0.007214593067909977,0.0003815930679099992
6_1_4_0,0.6285714285714286,0.40930900000000003,0.4278798079182491,0.018570807918249055
8_1_1_1,1.6635802469135803,0.154914,0.1971206186242006,0.04220661862420061
2_0_3_6,2.9333333333333327,0.08961300000000005,0.08676817270387549,0.0028448272961245635
3_4_0_4,2.3571428571428568,0.13492000000000004,0.12471041265268379,0.010209587347316251
0_2_0_9,0,2,1,2
0_0_9_2,0,2,1,2
3_5_2_1,0.7486111111111113,0.486641,0.386916317769068,0.099724682230932
1_4_6_0,7.542857142857142,0.004066000000000014,0.006024843015809111,0.001958843015809097
1_1_2_7,0.6365740740740741,0.42135599999999995,0.42495410412331003,0.0035981041233100752
0_3_7_1,7.218750000000001,0.0068270000000000275,0.007214593067909977,0.0003875930679099497
3_2_4_2,0.052380952380952334,0.8891020000000001,0.818970848901759,0.07013115109824108
4_0_0_7,11.0,0.00036199999999997345,0.0009111188771537126,0.0005491188771537391
5_2_4_0,1.3968253968253967,0.257016,0.23725582662349143,0.019760173376508594
10_1_0_0,0,2,1,2
3_1_7_0,1.9249999999999998,0.12502800000000003,0.16530650967094956,0.040278509670949536
6_0_2_3,4.950000000000001,0.02061400000000002,0.026090668481125387,0.005476668481125366
0_1_10_0,10.999999999999996,0.01394799999999996,0.0009111188771537129,0.013036881122846247
5_0_5_1,0.9166666666666666,0.35173200000000004,0.3383517215622166,0.013380278437783444
9_2_0_0,0,2,1,2
0_8_3_0,10.999999999999998,0.0030799999999999716,0.0009111188771537133,0.0021688811228462584
9_0_1_1,4.949999999999999,0.044537999999999967,0.026090668481125488,0.01844733151887448
1_7_0_3,0.4125,0.43442899999999995,0.5207033237981,0.08627432379810007
4_3_0_4,3.591836734693877,0.059971,0.058064034166922386,0.0019069658330776104
0_0_7_4,0,2,1,2
3_0_0_8,10.999999999999998,0.0015579999999999483,0.0009111188771537133,0.000646881122846235
2_1_5_3,0.01636904761904759,0.962996,0.898195206188072,0.06480079381192794
7_0_4_0,0,2,1,2
2_2_6_1,1.6369047619047623,0.236089,0.20075067663966753,0.03533832336033246
2_0_5_4,1.3968253968253967,0.25666100000000003,0.23725582662349143,0.0194051733765086
1_3_5_2,2.213095238095238,0.19266899999999998,0.13684386604293008,0.055825133957069895
1_6_3_1,4.05484693877551,0.05140599999999995,0.04404471164725345,0.007361288352746499
1_1_4_5,0.020370370370370355,0.84867,0.886507524584841,0.03783752458484091
3_2_1_5,2.213095238095238,0.19189999999999996,0.13684386604293008,0.055056133957069875
11_0_0_0,0,2,1,2
1_4_0_6,1.32,0.205469,0.25059205068568086,0.04512305068568084
3_3_1_4,1.060714285714286,0.348722,0.30305232949007976,0.04566967050992021
2_6_3_0,4.950000000000001,0.021001000000000047,0.026090668481125387,0.0050896684811253395
