table_str,chi_stat,pval_exact,pval_asympt,diff
4_2_4_0,1.666666666666667,0.17229700000000003,0.19670560245894314,0.024408602458943107
6_3_1_0,0.47619047619047616,0.442959,0.4901529604158251,0.04719396041582513
4_1_2_3,1.6666666666666665,0.295272,0.1967056024589432,0.09856639754105678
2_3_3_2,0.4,0.638312,0.5270892568655381,0.1112227431344619
3_6_1_0,1.6666666666666665,0.171226,0.1967056024589432,0.025479602458943207
1_1_6_2,0.4761904761904762,0.5096579999999999,0.490152960415825,0.019505039584174932
8_0_1_1,4.444444444444445,0.04995700000000003,0.03501498101966245,0.014942018980337576
0_8_2_0,10.000000000000002,0.0019890000000000185,0.0015654022580025484,0.00042359774199747014
1_4_2_3,0.47619047619047616,0.6178520000000001,0.4901529604158251,0.12769903958417494
1_0_8_1,0.12345679012345678,0.41891599999999996,0.7253151482375766,0.30639914823757664
3_1_0_6,6.428571428571429,0.009870000000000045,0.011229886652916672,0.0013598866529166264
4_1_0_5,6.666666666666666,0.010185,0.009823274507519247,0.0003617254924807526
0_4_5_1,6.666666666666666,0.010155000000000025,0.009823274507519247,0.0003317254924807781
2_4_4_0,4.4444444444444455,0.025502000000000025,0.03501498101966242,0.009512981019662393
1_2_6_1,2.743764172335601,0.10237099999999999,0.09763453614071957,0.004736463859280421
2_6_1_1,0.47619047619047616,0.586098,0.4901529604158251,0.09594503958417488
4_3_1_2,0.47619047619047616,0.625997,0.4901529604158251,0.1358440395841749
8_2_0_0,0,2,1,2
1_1_0_8,4.444444444444445,0.04972399999999999,0.03501498101966245,0.014709018980337538
5_4_1_0,0.7407407407407409,0.37687499999999996,0.3894236957350261,0.01254869573502615
7_0_3_0,0,2,1,2
3_5_0_2,1.0714285714285716,0.35150000000000003,0.3006229881969037,0.05087701180309634
0_6_4_0,10.0,0.001998999999999973,0.001565402258002549,0.000433597741997424
5_2_0_3,4.285714285714286,0.04280099999999998,0.03843393023678176,0.004367069763218219
0_5_2_3,2.5,0.13371200000000005,0.11384629800665763,0.01986570199334242
0_1_0_9,0,2,1,2
0_0_4_6,0,2,1,2
5_0_1_4,6.666666666666666,0.010132999999999948,0.009823274507519247,0.0003097254924807006
3_2_4_1,0.47619047619047616,0.627086,0.4901529604158251,0.1369330395841749
6_0_0_4,10.0,0.002059000000000033,0.001565402258002549,0.000493597741997484
0_3_1_6,0.47619047619047616,0.441122,0.4901529604158251,0.04903096041582511
2_1_6_1,0.4761904761904763,0.486534,0.490152960415825,0.00361896041582499
3_0_3_4,2.8571428571428577,0.08413800000000005,0.09096894797535764,0.00683094797535759
0_5_0_5,0,2,1,2
4_0_6_0,0,2,1,2
0_2_1_7,0.2777777777777778,0.46218899999999996,0.5981614526835279,0.13597245268352798
0_2_7_1,5.833333333333333,0.017541999999999947,0.01572529975450535,0.0018167002454945978
6_4_0_0,0,2,1,2
5_0_3_2,2.5,0.133907,0.11384629800665763,0.020060701993342367
0_7_1_2,2.5925925925925926,0.08183399999999996,0.1073644652066152,0.02553046520661524
1_1_5_3,0.10416666666666666,0.761711,0.746885633390364,0.01482536660963607
2_0_0_8,10.000000000000002,0.0019980000000000553,0.0015654022580025484,0.0004325977419975069
3_4_3_0,2.8571428571428577,0.08420399999999995,0.09096894797535764,0.006764947975357691
1_3_4_2,1.6666666666666665,0.295662,0.1967056024589432,0.09895639754105678
1_6_0_3,0.4761904761904761,0.44235100000000005,0.4901529604158251,0.04780196041582507
3_1_1_5,3.4027777777777772,0.08426299999999998,0.0650867264927669,0.019176273507233083
1_4_1_4,0.0,1.0,1.0,0.0
5_1_3_1,0.10416666666666667,0.737372,0.7468856333903637,0.009513633390363707
2_5_1_2,0.022675736961451243,0.892952,0.8803033704474621,0.012648629552537871
1_0_3_6,1.6666666666666667,0.17010199999999998,0.1967056024589432,0.02660360245894322
4_1_3_2,0.47619047619047616,0.628395,0.4901529604158251,0.13824203958417491
8_0_2_0,0,2,1,2
2_0_6_2,0.625,0.37401799999999996,0.42919530044034926,0.0551773004403493
0_1_5_4,1.1111111111111112,0.28835,0.29184054514378543,0.0034905451437854396
0_4_6_0,10.0,0.0021379999999999733,0.001565402258002549,0.0005725977419974242
2_6_2_0,3.75,0.050178999999999974,0.052807511416113395,0.0026285114161134215
0_3_4_3,2.857142857142857,0.09787299999999999,0.09096894797535765,0.006904052024642338
2_1_1_6,2.7437641723356014,0.10133199999999998,0.09763453614071983,0.003697463859280145
1_4_3_2,1.6666666666666665,0.295809,0.1967056024589432,0.09910339754105679
4_4_1_1,0.0,1.0,1.0,0.0
1_0_9_0,0,2,1,2
3_0_6_1,0.47619047619047616,0.44386499999999995,0.4901529604158251,0.04628796041582517
1_2_7_0,5.833333333333334,0.013862999999999959,0.0157252997545054,0.001862299754505442
0_1_3_6,0.47619047619047616,0.44228599999999996,0.4901529604158251,0.047866960415825166
2_3_4_1,1.6666666666666665,0.294647,0.1967056024589432,0.0979413975410568
2_2_2_4,0.2777777777777776,0.708789,0.5981614526835279,0.11062754731647206
3_3_2_2,0.0,1.0,1.0,0.0
4_3_2_1,0.07936507936507939,0.8351379999999999,0.7781596861761658,0.056978313823834115
7_0_0_3,10.0,0.0036850000000000493,0.001565402258002549,0.0021195977419975003
4_6_0_0,0,2,1,2
0_0_3_7,0,2,1,2
1_5_3_1,3.4027777777777772,0.084252,0.0650867264927669,0.0191652735072331
5_2_1_2,1.2698412698412698,0.332423,0.2597964596779385,0.0726265403220615
6_0_3_1,1.6666666666666665,0.17128699999999997,0.1967056024589432,0.02541860245894323
0_5_3_2,4.285714285714286,0.043020999999999976,0.03843393023678176,0.004587069763218217
5_0_0_5,10.0,0.002067000000000041,0.001565402258002549,0.000501597741997492
3_2_5_0,2.5,0.133849,0.11384629800665763,0.020002701993342364
1_9_0_0,0,2,1,2
1_0_6_3,0.47619047619047616,0.442991,0.4901529604158251,0.0471619604158251
2_1_7_0,2.5925925925925926,0.08176799999999995,0.1073644652066152,0.02559646520661525
4_2_0_4,4.444444444444445,0.031020999999999965,0.03501498101966245,0.0039939810196624875
5_3_1_1,0.10416666666666666,0.762081,0.746885633390364,0.015195366609636052
1_2_1_6,0.4761904761904762,0.509487,0.490152960415825,0.01933403958417501
0_9_0_1,0,2,1,2
2_0_3_5,2.5,0.13389099999999998,0.11384629800665763,0.02004470199334235
2_0_5_3,1.0714285714285716,0.35207599999999994,0.3006229881969037,0.05145301180309625
1_3_3_3,0.6250000000000001,0.468387,0.42919530044034915,0.03919169955965085
0_7_2_1,5.833333333333332,0.017351000000000005,0.015725299754505363,0.0016257002454946427
2_2_4_2,0.2777777777777776,0.708536,0.5981614526835279,0.11037454731647212
3_1_4_2,0.07936507936507937,0.854641,0.7781596861761658,0.07648131382383416
4_2_2_2,0.2777777777777777,0.679424,0.598161452683528,0.08126254731647198
3_4_0_3,1.836734693877551,0.16475700000000004,0.17533414377659687,0.010577143776596826
0_1_6_3,1.6666666666666667,0.17034400000000005,0.1967056024589432,0.026361602458943145
1_6_1_2,0.4761904761904762,0.48779300000000003,0.490152960415825,0.00235996041582498
6_1_0_3,6.428571428571429,0.010418999999999956,0.011229886652916672,0.0008108866529167157
1_4_0_5,1.1111111111111112,0.28783499999999995,0.29184054514378543,0.004005545143785483
2_5_2_1,1.2698412698412698,0.333168,0.2597964596779385,0.0733715403220615
3_3_1_3,0.6250000000000001,0.47838800000000004,0.42919530044034915,0.04919269955965089
0_6_0_4,0,2,1,2
2_8_0_0,0,2,1,2
0_2_2_6,0.625,0.37443000000000004,0.42919530044034926,0.05476530044034922
0_0_9_1,0,2,1,2
0_1_4_5,0.7407407407407408,0.377355,0.3894236957350261,0.012068695735026114
5_1_4_0,0.7407407407407409,0.37712100000000004,0.3894236957350261,0.01230269573502607
4_4_2_0,1.6666666666666667,0.18854099999999996,0.1967056024589432,0.008164602458943238
1_7_1_1,1.40625,0.202129,0.23567991342903416,0.03355091342903416
6_0_4_0,0,2,1,2
2_1_0_7,5.833333333333333,0.017078000000000038,0.01572529975450535,0.001352700245494689
0_3_5_2,4.285714285714286,0.042564999999999964,0.03843393023678176,0.004131069763218205
0_8_0_2,0,2,1,2
6_2_1_1,0.4761904761904762,0.5085839999999999,0.490152960415825,0.018431039584174913
2_2_3_3,0.0,1.0,1.0,0.0
3_0_7_0,0,2,1,2
0_6_2_2,3.75,0.050027000000000044,0.052807511416113395,0.0027805114161133515
4_1_4_1,0.0,1.0,1.0,0.0
0_2_8_0,10.000000000000002,0.0020250000000000545,0.0015654022580025484,0.00045959774199750615
4_0_2_4,4.444444444444445,0.03105800000000003,0.03501498101966245,0.003956981019662423
2_3_5_0,4.285714285714286,0.04294299999999995,0.03843393023678176,0.0045090697632181945
1_2_2_5,0.022675736961451243,0.894254,0.8803033704474621,0.013950629552537896
1_2_4_3,0.47619047619047616,0.627813,0.4901529604158251,0.13766003958417483
4_3_3_0,1.8367346938775508,0.16639800000000005,0.17533414377659687,0.008936143776596822
1_0_5_4,0.7407407407407408,0.376672,0.3894236957350261,0.012751695735026103
7_0_1_2,5.833333333333332,0.017438999999999982,0.015725299754505363,0.0017137002454946197
2_2_1_5,1.2698412698412698,0.33164400000000005,0.2597964596779385,0.07184754032206153
9_1_0_0,0,2,1,2
2_4_2_2,0.2777777777777776,0.709109,0.5981614526835279,0.11094754731647205
4_2_1_3,1.6666666666666665,0.295204,0.1967056024589432,0.09849839754105683
0_0_0_10,0,2,1,2
1_5_4_0,6.666666666666666,0.01022400000000001,0.009823274507519247,0.00040072549248076385
3_2_0_5,4.285714285714286,0.04311699999999996,0.03843393023678176,0.004683069763218202
1_0_7_2,0.2777777777777778,0.463429,0.5981614526835279,0.13473245268352796
5_3_2_0,1.0714285714285716,0.350248,0.3006229881969037,0.04962501180309631
8_1_0_1,4.4444444444444455,0.039403999999999995,0.03501498101966242,0.0043890189803375765
0_3_3_4,1.836734693877551,0.16573499999999997,0.17533414377659687,0.009599143776596902
2_0_2_6,3.7500000000000004,0.049880000000000035,0.0528075114161135,0.002927511416113464
7_1_1_1,1.40625,0.201191,0.23567991342903416,0.03448891342903415
3_0_1_6,6.428571428571428,0.011785000000000045,0.011229886652916677,0.0005551133470833684
2_7_0_1,0.2777777777777778,0.46313899999999997,0.5981614526835279,0.13502245268352797
0_5_4_1,6.666666666666666,0.009962000000000026,0.009823274507519247,0.00013872549248077938
4_0_4_2,1.6666666666666667,0.18928100000000003,0.1967056024589432,0.007424602458943164
0_4_2_4,1.6666666666666667,0.189473,0.1967056024589432,0.007232602458943194
0_9_1_0,10.0,0.01566400000000001,0.001565402258002549,0.014098597741997463
0_2_3_5,1.0714285714285716,0.329612,0.3006229881969037,0.02898901180309632
3_1_3_3,0.6250000000000002,0.45284899999999995,0.42919530044034904,0.02365369955965091
3_2_2_3,0.4,0.636961,0.5270892568655381,0.10987174313446191
0_7_3_0,10.0,0.0037719999999999976,0.001565402258002549,0.0022065977419974485
1_0_1_8,4.444444444444445,0.04993099999999995,0.03501498101966245,0.014916018980337495
1_1_1_7,1.40625,0.20160299999999998,0.23567991342903416,0.034076913429034184
1_1_7_1,1.40625,0.20191199999999998,0.23567991342903416,0.03376791342903418
7_3_0_0,0,2,1,2
2_0_4_4,1.6666666666666667,0.22668699999999997,0.1967056024589432,0.029981397541056776
0_1_7_2,2.5925925925925926,0.08174300000000001,0.1073644652066152,0.025621465206615193
1_3_2_4,0.07936507936507939,0.848483,0.7781596861761658,0.07032331382383417
3_4_1_2,0.07936507936507937,0.854516,0.7781596861761658,0.07635631382383423
0_6_1_3,1.6666666666666665,0.17171800000000004,0.1967056024589432,0.02498760245894316
6_1_1_2,2.743764172335601,0.10212100000000002,0.09763453614071957,0.0044864638592804484
10_0_0_0,0,2,1,2
0_0_10_0,0,2,1,2
2_5_3_0,4.285714285714286,0.04291100000000003,0.03843393023678176,0.0044770697632182735
1_8_0_1,0.12345679012345678,0.41922099999999995,0.7253151482375766,0.30609414823757664
1_7_2_0,5.833333333333332,0.01734800000000003,0.015725299754505363,0.0016227002454946675
8_0_0_2,10.000000000000002,0.001994999999999969,0.0015654022580025484,0.00042959774199742063
6_2_2_0,0.625,0.37353800000000004,0.42919530044034926,0.05565730044034922
0_1_1_8,0.12345679012345678,0.41861099999999996,0.7253151482375766,0.30670414823757663
3_5_1_1,0.10416666666666666,0.762214,0.746885633390364,0.01532836660963599
3_3_0_4,2.8571428571428568,0.099545,0.09096894797535802,0.00857605202464197
2_4_1_3,0.07936507936507939,0.832342,0.7781596861761658,0.054182313823834205
2_6_0_2,0.6250000000000001,0.37425299999999995,0.42919530044034915,0.0549423004403492
